,filename,source_captions,target_captions,can_be_used_without_source,edit
78,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of a classical music piece.,1,GENRE
85,MusicDelta_Britpop_MIX.wav,"A woman is singing while another woman, guitars, drums and bass are playing in the background.",A woman is singing while an orchestra is playing in the background.,1,GENRE
88,MusicDelta_Britpop_MIX.wav,A high quality recording of a rock band playing an upbeat rock song.,A high quality recording of a jazz band playing an upbeat jazz song.,1,GENRE
95,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of happy Arabic music.,1,GENRE
96,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of happy Hindu music.,1,GENRE
98,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of happy pop music.,1,GENRE
102,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of angry metal music.,1,MOOD
106,MusicDelta_ChineseChaoZhou_MIX.wav,"Chinese strings, flutes, and harps playing an upbeat piece.","strings, flutes, and harps playing an upbeat piece.",1,GENRE
109,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of Chinese instruments playing.,A recording of Arabic instruments playing.,1,GENRE
110,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of Chinese instruments playing.,A recording of an orchestra playing.,1,GENRE
111,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of Chinese instruments playing.,A recording of a rock band playing.,1,GENRE
113,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of a happy Chinese piece.,1,MOOD
114,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of an arcade game soundtrack.,1,GENRE
115,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of an upbeat Chinese piece.,1,MOOD
116,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of an upbeat Hindu piece.,1,GENRE
117,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of a dramatic epic Arabic piece.,1,GENRE
118,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of a dramatic techno piece.,1,GENRE
126,MusicDelta_ChineseDrama_MIX.wav,A recording of Chinese instruments playing.,A recording of an orchestra playing.,1,GENRE
134,MusicDelta_ChineseHenan_MIX.wav,A recording of calm happy Chinese music.,A recording of calm happy country music.,1,GENRE
138,MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing calm happy Chinese music.","Hindu strings, flutes, and harp playing calm happy Hindu music.",0,GENRE
141,MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing calm happy Chinese music.","Strings, flutes, and harp playing calm happy techno music.",0,GENRE
150,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of a sad village Chinese song.,0,MOOD
153,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of a metal song.,1,GENRE
167,MusicDelta_ChineseJiangNan_MIX.wav,A high quality recording of Chinese instruments playing.,A high quality recording of a retro arcade soundtrack playing.,1,GENRE
177,MusicDelta_ChineseXinJing_MIX.wav,"Arabic and Chinese strings playing a mysterious song, alongside drums and Chinese flutes.","Strings playing an epic movie soundtrack, alongside drums and wind instruments.",0,GENRE
180,MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of Chinese strings, Arabic strings, drums and Chinese flutes playing.",A high quality recording of an orchestra playing.,1,GENRE
182,MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of Chinese strings, Arabic strings, drums and Chinese flutes playing.",A high quality recording of a rock band playing.,1,GENRE
184,MusicDelta_ChineseYaoZu_MIX.wav,A recording of a happy calm Chinese song.,A recording of a sad calm Chinese song.,0,MOOD
187,MusicDelta_ChineseYaoZu_MIX.wav,A recording of a happy calm Chinese song.,A recording of a happy calm rock song.,1,GENRE
191,MusicDelta_ChineseYaoZu_MIX.wav,A recording of a happy calm Chinese song.,A recording of a happy orchestral score.,0,GENRE
194,MusicDelta_ChineseYaoZu_MIX.wav,Chinese flutes and strings playing a happy calm Chinese song.,Flutes and guitars playing a happy calm song.,0,INSTR
195,MusicDelta_ChineseYaoZu_MIX.wav,Chinese flutes and strings playing a happy calm Chinese song.,A string section playing a happy calm song.,1,INSTR
198,MusicDelta_ChineseYaoZu_MIX.wav,A recording of Chinese instruments playing.,A recording of electronic music playing.,1,GENRE
199,MusicDelta_ChineseYaoZu_MIX.wav,A recording of Chinese instruments playing.,A recording of a rock band playing.,1,GENRE
200,MusicDelta_ChineseYaoZu_MIX.wav,A recording of Chinese instruments playing.,A recording of a string quartet playing.,1,INSTR
201,MusicDelta_ChineseYaoZu_MIX.wav,A recording of Chinese instruments playing.,A recording of an orchestra playing.,1,GENRE
204,MusicDelta_CoolJazz_MIX.wav,A recording of a cool calm jazz song.,A recording of a cool calm hip hop song.,1,GENRE
206,MusicDelta_CoolJazz_MIX.wav,A recording of a cool calm jazz song.,A recording of a cool calm arcade game soundtrack.,1,GENRE
208,MusicDelta_CoolJazz_MIX.wav,A recording of a cool calm jazz song.,A recording of a mysterious Arabic song.,1,GENRE
215,MusicDelta_CoolJazz_MIX.wav,"A trumpet and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.","A trumpet and a saxophone playing a cool metal melody, with an accompaniment of a piano, bass and drums.",0,GENRE
217,MusicDelta_CoolJazz_MIX.wav,"A high quality recording of a trumpet, a saxophone, a piano, a bass guitar and drums playing.","A high quality recording of a saxophone, a piano, a bass guitar and drums playing.",0,INSTR
220,MusicDelta_CoolJazz_MIX.wav,"A high quality recording of a trumpet, a saxophone, a piano, a bass guitar and drums playing.","A high quality recording of a trumpet, a guitar, a piano, a bass guitar and drums playing.",0,INSTR
222,MusicDelta_CoolJazz_MIX.wav,"A high quality recording of a trumpet, a saxophone, a piano, a bass guitar and drums playing.","A high quality recording of a trumpet, a violin, a piano, a bass guitar and drums playing.",0,INSTR
231,MusicDelta_Country1_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background a calm country song.","A woman is singing while a guitar, bass and drums playing in the background a calm country song.",0,VOICE
232,MusicDelta_Country1_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background a calm country song.","A man is singing while a violin, bass and drums playing in the background a calm country song.",0,INSTR
233,MusicDelta_Country1_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background a calm country song.","A violin playing while a guitar, bass and drums playing in the background a calm country song.",0,INSTR
237,MusicDelta_Country1_MIX.wav,"A high quality recording of a man singing, and a guitar, bass and drums playing.","A high quality recording of a woman singing, and a guitar, bass and drums playing.",0,VOICE
238,MusicDelta_Country1_MIX.wav,"A high quality recording of a man singing, and a guitar, bass and drums playing.","A high quality recording of a man singing, and a violin, bass and drums playing.",0,INSTR
239,MusicDelta_Country1_MIX.wav,"A high quality recording of a man singing, and a guitar, bass and drums playing.","A high quality recording of a man singing, and a piano, bass and drums playing.",0,INSTR
240,MusicDelta_Country1_MIX.wav,"A high quality recording of a man singing, and a guitar, bass and drums playing.","A high quality recording of a guitar, bass and drums playing.",0,INSTR
248,MusicDelta_Country2_MIX.wav,A recording of a country song.,A recording of an oriental song.,1,GENRE
251,MusicDelta_Country2_MIX.wav,"A woman is singing a country song with a guitar, bass and drums playing in the background.",A woman is singing an opera song with an orchestra playing in the background.,0,GENRE
253,MusicDelta_Country2_MIX.wav,"A woman is singing a country song with a guitar, bass and drums playing in the background.","A woman is singing a jazz song with a trumpet, bass and drums playing in the background.",0,GENRE
255,MusicDelta_Country2_MIX.wav,"A woman is singing a country song with a guitar, bass and drums playing in the background.","A woman is singing a country song with a trumpet, bass and drums playing in the background.",0,INSTR
257,MusicDelta_Country2_MIX.wav,"A high quality recording of a woman singing, and a guitar, bass and drums playing.","A high quality recording of a violin playing, and a guitar, bass and drums playing.",0,INSTR
262,MusicDelta_Country2_MIX.wav,"A high quality recording of a woman singing, and a guitar, bass and drums playing.","A high quality recording of a guitar, bass and drums playing.",0,INSTR
266,MusicDelta_Disco_MIX.wav,A recording of an upbeat disco song.,A recording of a sad rap song.,1,MOOD
272,MusicDelta_Disco_MIX.wav,"A man is singing in high pitched voice while a guitar, bass and drums are accompanying him in a happy upbeat disco song.","Electrical keyboard is playing while a guitar, bass and drums are accompanying it in an upbeat techno song.",0,GENRE
275,MusicDelta_Disco_MIX.wav,"A man is singing in high pitched voice while a guitar, bass and drums are accompanying him in a happy upbeat disco song.","A kid is singing while a piano, bass and drums are accompanying him in a happy upbeat rock song.",0,VOICE
279,MusicDelta_Disco_MIX.wav,"A high quality recording of a man singing, and a guitar, bass and drums playing.","A high quality recording of a piano playing, and a guitar, bass and drums playing.",0,INSTR
284,MusicDelta_FreeJazz_MIX.wav,A recording of a sneaky jazz song.,A recording of a romantic country song.,1,GENRE
285,MusicDelta_FreeJazz_MIX.wav,A recording of a sneaky jazz song.,A recording of an angry metal song.,1,MOOD
286,MusicDelta_FreeJazz_MIX.wav,A recording of a sneaky jazz song.,A recording of a sneaky arcade game soundtrack.,1,GENRE
290,MusicDelta_FreeJazz_MIX.wav,A recording of a sneaky jazz song.,A recording of a quiet hip hop song.,1,MOOD
295,MusicDelta_FreeJazz_MIX.wav,"A clarinet playing a quiet jazz melody, with an accompaniment of bass and drums.","A violin playing a loud classical melody, with an accompaniment of an orchestra.",0,GENRE
298,MusicDelta_FreeJazz_MIX.wav,"A high quality recording of a clarinet, bass and drums playing.","A high quality recording of a trumpet, bass and drums playing.",0,INSTR
299,MusicDelta_FreeJazz_MIX.wav,"A high quality recording of a clarinet, bass and drums playing.","A high quality recording of a saxophone, bass and drums playing.",0,INSTR
300,MusicDelta_FreeJazz_MIX.wav,"A high quality recording of a clarinet, bass and drums playing.","A high quality recording of a piano, bass and drums playing.",0,INSTR
301,MusicDelta_FreeJazz_MIX.wav,"A high quality recording of a clarinet, bass and drums playing.",A high quality recording of an orchestra playing.,1,GENRE
303,MusicDelta_FreeJazz_MIX.wav,"A high quality recording of a clarinet, bass and drums playing.",A high quality recording of a rock band playing.,1,GENRE
308,MusicDelta_FunkJazz_MIX.wav,A recording of a funky jazz song.,A recording of a funky hip hop song.,1,GENRE
311,MusicDelta_FunkJazz_MIX.wav,A recording of a funky jazz song.,A recording of a mysterious Chinese song.,1,GENRE
312,MusicDelta_FunkJazz_MIX.wav,"A trumpet playing a funky jazz melody, with an accompaniment of an electric keyboard, bass and drums.","A saxophone playing a funky jazz melody, with an accompaniment of an electric keyboard, bass and drums.",0,INSTR
318,MusicDelta_FunkJazz_MIX.wav,"A high quality recording of a trumpet, electric keyboard, bass and drums playing.","A high quality recording of a guitar, electric keyboard, bass and drums playing.",0,INSTR
328,MusicDelta_FusionJazz_MIX.wav,A recording of a slow cool jazz song.,A recording of a slow cool arcade game soundtrack.,1,GENRE
329,MusicDelta_FusionJazz_MIX.wav,A recording of a slow cool jazz song.,A recording of an underground techno song.,1,GENRE
331,MusicDelta_FusionJazz_MIX.wav,"A trumpet playing a slow cool jazz melody while an electric keyboard, bass and drums play in the background, later a saxophone preforms a solo as well.","A violin playing a slow cool jazz melody while an electric keyboard, bass and drums play in the background, later a saxophone preforms a solo as well.",0,INSTR
333,MusicDelta_FusionJazz_MIX.wav,"A trumpet playing a slow cool jazz melody while an electric keyboard, bass and drums play in the background, later a saxophone preforms a solo as well.","A guitar playing a cool rock melody while an electric keyboard, bass and drums play in the background.",0,GENRE
339,MusicDelta_FusionJazz_MIX.wav,"A high quality recording of a trumpet, saxophone, electric keyboard, bass and drums playing.","A high quality recording of a piano, saxophone, electric keyboard, bass and drums playing.",0,INSTR
340,MusicDelta_FusionJazz_MIX.wav,"A high quality recording of a trumpet, saxophone, electric keyboard, bass and drums playing.","A high quality recording of a woman singing, and a saxophone, electric keyboard, bass and drums playing.",0,OTHER
343,MusicDelta_Gospel_MIX.wav,A recording of an upbeat gospel song.,A recording of a rhythmic metal song.,1,GENRE
349,MusicDelta_Gospel_MIX.wav,A recording of an upbeat gospel song.,A recording of an upbeat jazz song.,1,GENRE
352,MusicDelta_Gospel_MIX.wav,"A woman is singing a gospel song, accompanied by guitar and drums.","A banjo is playing a country song, accompanied by guitar and drums.",0,GENRE
353,MusicDelta_Gospel_MIX.wav,"A woman is singing a gospel song, accompanied by guitar and drums.","A man is singing a metal song, accompanied by guitar and drums.",0,GENRE
360,MusicDelta_Gospel_MIX.wav,A high quality recording of a woman singing with a guitar and drums playing in the background.,A high quality recording of a woman singing with a string section and drums playing in the background.,0,INSTR
362,MusicDelta_GriegTrolltog_MIX.wav,A recording of a dramatic classical music piece.,A recording of an epic movie soundtrack.,0,GENRE
365,MusicDelta_GriegTrolltog_MIX.wav,A recording of a dramatic classical music piece.,A recording of a romantic country song.,1,GENRE
367,MusicDelta_GriegTrolltog_MIX.wav,A recording of a dramatic classical music piece.,A recording of a scary techno song.,1,GENRE
370,MusicDelta_GriegTrolltog_MIX.wav,"A recording of a sneaky, quiet and dramatic classical music piece, that turns loud in the middle then turns quite again.","A recording of a sneaky, quiet and dramatic arcade game soundtrack, that turns loud in the middle then turns quite again.",0,GENRE
374,MusicDelta_GriegTrolltog_MIX.wav,"A recording of a sneaky, quiet and dramatic classical music piece, that turns loud in the middle then turns quite again.","A recording of a sneaky, quiet and dramatic Chinese music piece, that turns loud in the middle then turns quite again.",0,GENRE
377,MusicDelta_GriegTrolltog_MIX.wav,"Flutes, wind instruments and strings playing a dramatic classical music piece.","Trumpets, wind instruments and strings playing a dramatic classical music piece.",0,INSTR
378,MusicDelta_GriegTrolltog_MIX.wav,"Flutes, wind instruments and strings playing a dramatic classical music piece.","A piano, wind instruments and strings playing a dramatic classical music piece.",0,INSTR
382,MusicDelta_GriegTrolltog_MIX.wav,"A high quality recording of flutes, wind instruments and strings playing.","A high quality recording of trumpets, wind instruments and strings playing.",0,INSTR
383,MusicDelta_GriegTrolltog_MIX.wav,"A high quality recording of flutes, wind instruments and strings playing.","A high quality recording of saxophones, wind instruments and strings playing.",0,INSTR
390,MusicDelta_Grunge_MIX.wav,A recording of a grunge rock song.,A recording of a Arabic song.,1,GENRE
391,MusicDelta_Grunge_MIX.wav,A recording of a grunge rock song.,A recording of a jazz song.,1,GENRE
393,MusicDelta_Grunge_MIX.wav,A recording of a grunge rock song.,A recording of a hip hop song.,1,GENRE
394,MusicDelta_Grunge_MIX.wav,A recording of a grunge rock song.,A recording of a pop song.,1,GENRE
395,MusicDelta_Grunge_MIX.wav,A recording of a grunge rock song.,A recording of a rap song.,1,GENRE
396,MusicDelta_Grunge_MIX.wav,A recording of a grunge rock song.,A recording of a reggae song.,1,GENRE
398,MusicDelta_Grunge_MIX.wav,"A grunge rock song of a man singing while an electric guitar, bass and drums are playing in the background.","A rock song of a woman singing while an electric guitar, bass and drums are playing in the background.",0,VOICE
406,MusicDelta_Grunge_MIX.wav,A high quality recording of a man singing with a rock band accompaniment.,A high quality recording of a rock band accompaniment.,0,OTHER
410,MusicDelta_Hendrix_MIX.wav,A recording of a rock song.,A recording of a death metal song.,1,GENRE
411,MusicDelta_Hendrix_MIX.wav,A recording of a rock song.,A recording of a hip hop song.,1,GENRE
419,MusicDelta_Hendrix_MIX.wav,"A rock song of a man singing while a guitar, bass and drums are playing in the background.","A techno song of a synthesizer playing while a guitar, bass and drums are playing in the background.",0,GENRE
421,MusicDelta_Hendrix_MIX.wav,A high quality recording of a man singing with a rock band accompaniment.,A high quality recording of a woman singing with a rock band accompaniment.,0,VOICE
422,MusicDelta_Hendrix_MIX.wav,A high quality recording of a man singing with a rock band accompaniment.,A high quality recording of a man singing with an orchestra rock band accompaniment.,0,GENRE
423,MusicDelta_Hendrix_MIX.wav,A high quality recording of a man singing with a rock band accompaniment.,A high quality recording of a woman singing with an orchestra rock band accompaniment.,0,VOICE
424,MusicDelta_Hendrix_MIX.wav,A high quality recording of a man singing with a rock band accompaniment.,A high quality recording of a man singing with a jazz band accompaniment.,0,GENRE
431,MusicDelta_InTheHalloftheMountainKing_MIX.wav,A recording of a scary classical music piece.,A recording of a scary arcade game soundtrack.,1,GENRE
432,MusicDelta_InTheHalloftheMountainKing_MIX.wav,A recording of a scary classical music piece.,A recording of a scary Arabic music piece.,1,GENRE
433,MusicDelta_InTheHalloftheMountainKing_MIX.wav,Strings playing a scary classical music melody with flutes and drums accompaniment in the background.,Chinese strings playing a scary Chinese music melody with Chinese flutes and drums accompaniment in the background.,0,GENRE
434,MusicDelta_InTheHalloftheMountainKing_MIX.wav,Strings playing a scary classical music melody with flutes and drums accompaniment in the background.,Guitars playing a scary techno melody with a synthesizer and drums accompaniment in the background.,0,GENRE
436,MusicDelta_InTheHalloftheMountainKing_MIX.wav,Strings playing a scary classical music melody with flutes and drums accompaniment in the background.,Violins playing a quiet jazz melody with trumpets and drums accompaniment in the background.,0,GENRE
437,MusicDelta_InTheHalloftheMountainKing_MIX.wav,Strings playing a scary classical music melody with flutes and drums accompaniment in the background.,A synthesizer playing a scary arcade game melody with another synthesizer accompaniment in the background.,0,GENRE
444,MusicDelta_LatinJazz_MIX.wav,A recording of a happy upbeat song in a Latin jazz style.,A recording of a happy upbeat song in a rock style.,1,GENRE
453,MusicDelta_LatinJazz_MIX.wav,Flutes playing alongside a trumpet a happy upbeat melody.,Flutes playing alongside a woman vocalizing a happy upbeat melody.,0,VOICE
459,MusicDelta_LatinJazz_MIX.wav,A high quality recording of flutes and a trumpet playing.,A high quality recording of flutes and a saxophone playing.,0,INSTR
465,MusicDelta_ModalJazz_MIX.wav,A recording of an old upbeat cool jazz song.,A recording of an old slow cool jazz song.,0,TEMPO
471,MusicDelta_ModalJazz_MIX.wav,"Trumpets playing alongside a piano, bass and drums in an upbeat old-timey cool jazz song.","Women singing alongside a piano, bass and drums in an upbeat old-timey cool jazz song.",0,OTHER
472,MusicDelta_ModalJazz_MIX.wav,"Trumpets playing alongside a piano, bass and drums in an upbeat old-timey cool jazz song.","Violins playing alongside a piano, bass and drums in an upbeat old-timey cool rock song.",0,INSTR
474,MusicDelta_ModalJazz_MIX.wav,"Trumpets playing alongside a piano, bass and drums in an upbeat old-timey cool jazz song.","Trumpets playing alongside a harp, bass and drums in an upbeat old-timey cool classical song.",0,INSTR
475,MusicDelta_ModalJazz_MIX.wav,"Trumpets playing alongside a piano, bass and drums in an upbeat old-timey cool jazz song.","A harp playing alongside a piano, bass and drums in an upbeat old-timey cool classical song.",0,INSTR
476,MusicDelta_ModalJazz_MIX.wav,"A high quality recording of trumpets playing a melody and a piano, bass and drums accompany them.","A high quality recording of guitars playing a melody and a piano, bass and drums accompany them.",0,INSTR
478,MusicDelta_ModalJazz_MIX.wav,"A high quality recording of trumpets playing a melody and a piano, bass and drums accompany them.","A high quality recording of saxophones playing a melody and a piano, bass and drums accompany them.",0,INSTR
480,MusicDelta_ModalJazz_MIX.wav,"A high quality recording of trumpets playing a melody and a piano, bass and drums accompany them.",A high quality recording of trumpets playing a melody and an orchestra accompany them.,0,GENRE
484,MusicDelta_Pachelbel_MIX.wav,A recording of an emotional classical music piece that fits weddings.,A recording of an emotional Arabic music piece that fits weddings.,1,GENRE
487,MusicDelta_Pachelbel_MIX.wav,A recording of an emotional classical music piece that fits weddings.,A recording of a rhythmic hip hop song.,1,GENRE
488,MusicDelta_Pachelbel_MIX.wav,A recording of an emotional classical music piece that fits weddings.,A recording of an emotional pop song that fits weddings.,1,GENRE
489,MusicDelta_Pachelbel_MIX.wav,A cello playing a melody and then slowly a violin joins and more strings and they play a happy emotional song.,A saxophone playing a melody and then slowly a violin joins and more strings and they play a happy emotional song.,0,INSTR
492,MusicDelta_Pachelbel_MIX.wav,A cello playing a melody and then slowly a violin joins and more strings and they play a happy emotional song.,A piano playing a melody and then slowly a flute joins and strings and they play a happy emotional song.,0,INSTR
500,MusicDelta_Pachelbel_MIX.wav,A high quality recording of a cello and violins playing a happy and emotional piece.,A high quality recording of a guitar and violins playing a happy and emotional  piece.,0,INSTR
503,MusicDelta_Pachelbel_MIX.wav,A high quality recording of a cello and violins playing a happy and emotional piece.,A high quality recording of a cello and a choir playing a happy and emotional  piece.,0,OTHER
507,MusicDelta_Punk_MIX.wav,A recording of an upbeat angry punk song.,A recording of an upbeat angry arcade game soundtrack.,1,GENRE
508,MusicDelta_Punk_MIX.wav,A recording of an upbeat angry punk song.,A recording of an upbeat angry movie soundtrack.,1,GENRE
509,MusicDelta_Punk_MIX.wav,A recording of an upbeat angry punk song.,A recording of a scary classical music score.,1,GENRE
511,MusicDelta_Punk_MIX.wav,A recording of an upbeat angry punk song.,A recording of an upbeat happy country song.,1,GENRE
516,MusicDelta_Punk_MIX.wav,"A punk song of a man singing while a guitar, bass and drums accompany him.","A punk song of a woman singing while a guitar, bass and drums accompany her.",0,VOICE
518,MusicDelta_Punk_MIX.wav,"A punk song of a man singing while a guitar, bass and drums accompany him.","An Arabic song of a man singing while a guitar, bass and drums accompany him.",0,GENRE
519,MusicDelta_Punk_MIX.wav,"A punk song of a man singing while a guitar, bass and drums accompany him.","A jazz song of a man singing while a saxophone, bass and drums accompany him.",0,GENRE
523,MusicDelta_Punk_MIX.wav,"A high quality recording of a man singing while a guitar, bass and drums accompany him.","A high quality recording of a man singing while a violin, bass and drums accompany him.",0,INSTR
525,MusicDelta_Punk_MIX.wav,"A high quality recording of a man singing while a guitar, bass and drums accompany him.","A high quality recording of a violin playing while a guitar, bass and drums accompany him.",0,INSTR
527,MusicDelta_Reggae_MIX.wav,A recording of a slow reggae song.,A recording of a cool hip hop song.,1,GENRE
532,MusicDelta_Reggae_MIX.wav,A recording of a slow reggae song.,A recording of a slow and cool jazz song.,1,TEMPO
534,MusicDelta_Reggae_MIX.wav,A recording of a slow reggae song.,A recording of a slow Chinese song.,1,GENRE
535,MusicDelta_Reggae_MIX.wav,A reggae song of a man singing while bass and drums accompany him.,A reggae song of a woman singing while bass and drums accompany her.,0,VOICE
536,MusicDelta_Reggae_MIX.wav,A reggae song of a man singing while bass and drums accompany him.,A rap song of a man singing while bass and drums accompany him.,0,GENRE
537,MusicDelta_Reggae_MIX.wav,A reggae song of a man singing while bass and drums accompany him.,A country song of a woman singing while bass and drums accompany her.,0,GENRE
539,MusicDelta_Reggae_MIX.wav,A reggae song of a man singing while bass and drums accompany him.,A rock song of a man singing while bass and drums accompany him.,0,GENRE
544,MusicDelta_Reggae_MIX.wav,A high quality recording of a man singing while bass and drums accompany him.,A high quality recording of a man singing while and orchestra accompany him.,0,GENRE
545,MusicDelta_Reggae_MIX.wav,A high quality recording of a man singing while bass and drums accompany him.,A high quality recording of a piano playing while bass and drums accompany it.,0,INSTR
548,MusicDelta_Rock_MIX.wav,A recording of an old timey rock song from the sixties.,A recording of an old timey jazz song from the sixties.,1,GENRE
551,MusicDelta_Rock_MIX.wav,A recording of an old timey rock song from the sixties.,A recording of an old timey rock song from the eighties.,0,TEMPO
555,MusicDelta_Rock_MIX.wav,A recording of an old timey rock song from the sixties.,A recording of an old timey arcade game soundtrack from the eighties.,1,GENRE
560,MusicDelta_Rock_MIX.wav,"A cool 60s rock song of a man singing while a guitar, bass and drums accompany him.","A cool 90s rock song of a man singing while a guitar, bass and drums accompany him.",0,TEMPO
564,MusicDelta_Rock_MIX.wav,"A cool 60s rock song of a man singing while a guitar, bass and drums accompany him.","A cool 90s hip hop song of a man singing while a guitar, bass and drums accompany him.",0,GENRE
567,MusicDelta_Rock_MIX.wav,"A high quality recording of a man singing while a guitar, bass and drums accompany him.","A high quality recording of a man singing while a violin, bass and drums accompany him.",0,INSTR
570,MusicDelta_Rock_MIX.wav,"A high quality recording of a man singing while a guitar, bass and drums accompany him.","A high quality recording of a saxophone playing while a guitar, bass and drums accompany him.",0,INSTR
572,MusicDelta_Rockabilly_MIX.wav,A recording of an old rock song.,A recording of an old jazz song.,1,GENRE
575,MusicDelta_Rockabilly_MIX.wav,A recording of an old rock song.,A recording of an old classical song.,1,GENRE
576,MusicDelta_Rockabilly_MIX.wav,A recording of an old rock song.,A recording of an old arcade game soundtrack.,1,GENRE
577,MusicDelta_Rockabilly_MIX.wav,A recording of an old rock song.,A recording of an techno song.,1,GENRE
580,MusicDelta_Rockabilly_MIX.wav,A recording of an old rock song.,A recording of a new rock song.,1,GENRE
588,MusicDelta_Rockabilly_MIX.wav,A high quality recording of a woman singing while a guitar and drums play in the background.,A high quality recording of a man singing while a guitar and drums play in the background.,0,VOICE
589,MusicDelta_Rockabilly_MIX.wav,A high quality recording of a woman singing while a guitar and drums play in the background.,A high quality recording of a piano playing while a guitar and drums play in the background.,0,OTHER
592,MusicDelta_Rockabilly_MIX.wav,A high quality recording of a woman singing while a guitar and drums play in the background.,A high quality recording of a violin playing while an orchestra play in the background.,0,OTHER
