,filename,source_captions,target_captions,can_be_used_without_source,edit
549,MusicDelta_Rock_MIX.wav,A recording of an old timey rock song from the sixties.,A recording of an old timey country song from the seventies.,1,GENRE
135,MusicDelta_ChineseHenan_MIX.wav,A recording of calm happy Chinese music.,A recording of calm happy jazz music.,1,GENRE
415,MusicDelta_Hendrix_MIX.wav,"A rock song of a man singing while a guitar, bass and drums are playing in the background.","A jazz song of a man singing while a guitar, bass and drums are playing in the background.",0,GENRE
76,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of Arabic music.,1,GENRE
418,MusicDelta_Hendrix_MIX.wav,"A rock song of a man singing while a guitar, bass and drums are playing in the background.",An opera song of a man singing while an orchestra and drums are playing in the background.,0,GENRE
146,MusicDelta_ChineseHenan_MIX.wav,A recording of Chinese instruments playing.,A recording of Hindu instruments playing.,0,GENRE
57,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of an upbeat country song.,1,GENRE
494,MusicDelta_Pachelbel_MIX.wav,A high quality recording of strings playing a wedding song.,A high quality recording of an orchestra playing a wedding song.,0,GENRE
316,MusicDelta_FunkJazz_MIX.wav,"A trumpet playing a funky jazz melody, with an accompaniment of an electric keyboard, bass and drums.","A guitar playing a funky techno melody, with an accompaniment of an electric keyboard and a synthesizer.",0,GENRE
392,MusicDelta_Grunge_MIX.wav,A recording of a grunge rock song.,A recording of a techno song.,1,GENRE
288,MusicDelta_FreeJazz_MIX.wav,A recording of a sneaky jazz song.,A recording of a funky jazz song.,0,GENRE
267,MusicDelta_Disco_MIX.wav,A recording of an upbeat disco song.,A recording of an epic movie soundtrack.,1,GENRE
35,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an epic movie soundtrack.,1,GENRE
58,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of a rock song.,1,GENRE
672,MusicDelta_Vivaldi_MIX.wav,A high quality recording of strings playing a happy song.,A high quality recording of a jazz band playing a happy song.,0,GENRE
186,MusicDelta_ChineseYaoZu_MIX.wav,A recording of a happy calm Chinese song.,A recording of a happy calm hip hop song.,1,GENRE
456,MusicDelta_LatinJazz_MIX.wav,Flutes playing alongside a trumpet a happy upbeat melody.,A rock band playing alongside a trumpet a happy upbeat melody.,0,GENRE
241,MusicDelta_Country2_MIX.wav,A recording of a country song.,A recording of a metal song.,1,GENRE
501,MusicDelta_Pachelbel_MIX.wav,A high quality recording of a cello and violins playing a happy and emotional piece.,A high quality recording of a piano and violins playing a happy and emotional  piece.,0,INSTR
48,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","a saxophone, violin, piano, bass and drums playing.",0,INSTR
571,MusicDelta_Rock_MIX.wav,"A high quality recording of a man singing while a guitar, bass and drums accompany him.","A high quality recording of a violin playing while a guitar, bass and drums accompany him.",0,INSTR
337,MusicDelta_FusionJazz_MIX.wav,"A high quality recording of a trumpet, saxophone, electric keyboard, bass and drums playing.","A high quality recording of a violin, saxophone, electric keyboard, bass and drums playing.",0,INSTR
260,MusicDelta_Country2_MIX.wav,"A high quality recording of a woman singing, and a guitar, bass and drums playing.","A high quality recording of a piano playing, and a guitar, bass and drums playing.",0,INSTR
569,MusicDelta_Rock_MIX.wav,"A high quality recording of a man singing while a guitar, bass and drums accompany him.","A high quality recording of a piano playing while a guitar, bass and drums accompany him.",0,INSTR
223,MusicDelta_CoolJazz_MIX.wav,"A high quality recording of a trumpet, a saxophone, a piano, a bass guitar and drums playing.","A high quality recording of a violin, a piano, a bass guitar and drums playing.",0,INSTR
47,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","a violin, trumpet, piano, bass and drums playing.",0,INSTR
439,MusicDelta_InTheHalloftheMountainKing_MIX.wav,"A high quality recording of strings, flutes and drums playing.","A high quality recording of strings, trumpets and drums playing.",0,INSTR
438,MusicDelta_InTheHalloftheMountainKing_MIX.wav,"A high quality recording of strings, flutes and drums playing.","A high quality recording of guitars, flutes and drums playing.",0,INSTR
684,MusicDelta_Zeppelin_MIX.wav,"An electric guitar playing epic riffs while another guitar, bass and drums are playing in the background.","A saxophone playing an epic solo while a guitar, bass and drums are playing in the background.",0,INSTR
50,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","strings, bass and drums playing.",0,INSTR
297,MusicDelta_FreeJazz_MIX.wav,"A high quality recording of a clarinet, bass and drums playing.","A high quality recording of a piano, bass and drums playing.",0,INSTR
40,MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, trumpet, piano, bass and drums playing.","A jazz song with 2 trumpets, piano, bass and drums playing.",0,INSTR
612,MusicDelta_Shadows_MIX.wav,A high quality recording of a guitar playing a melody while another guitar and drums are playing in the background.,A high quality recording of a trumpet playing a melody while another trumpet and drums are playing in the background.,0,INSTR
450,MusicDelta_LatinJazz_MIX.wav,Flutes playing alongside a trumpet a happy upbeat melody.,Guitars playing alongside a trumpet a happy upbeat melody.,0,INSTR
261,MusicDelta_Country2_MIX.wav,"A high quality recording of a woman singing, and a guitar, bass and drums playing.","A high quality recording of a trumpet playing, and a guitar, bass and drums playing.",0,INSTR
440,MusicDelta_InTheHalloftheMountainKing_MIX.wav,"A high quality recording of strings, flutes and drums playing.",A high quality recording of flutes and drums playing.,0,INSTR
692,MusicDelta_Zeppelin_MIX.wav,A high quality recording of an epic guitar hard rock solo with a rock band accompaniment.,A high quality recording of an epic piano hard rock solo with a rock band accompaniment.,0,INSTR
452,MusicDelta_LatinJazz_MIX.wav,Flutes playing alongside a trumpet a happy upbeat melody.,Flutes playing alongside a violin a happy upbeat melody.,0,INSTR
470,MusicDelta_ModalJazz_MIX.wav,"Trumpets playing alongside a piano, bass and drums in an upbeat old-timey cool jazz song.","Saxophones playing alongside a piano, bass and drums in an upbeat old-timey cool jazz song.",0,INSTR
526,MusicDelta_Punk_MIX.wav,"A high quality recording of a man singing while a guitar, bass and drums accompany him.","A high quality recording of a saxophone playing while a guitar, bass and drums accompany him.",0,INSTR
258,MusicDelta_Country2_MIX.wav,"A high quality recording of a woman singing, and a guitar, bass and drums playing.","A high quality recording of a woman singing, and a violin, bass and drums playing.",0,INSTR
211,MusicDelta_CoolJazz_MIX.wav,"A trumpet and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.","A violin and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.",0,INSTR
605,MusicDelta_Shadows_MIX.wav,A calm song with guitars and drums playing.,A calm song with violins and drums playing.,0,INSTR
442,MusicDelta_InTheHalloftheMountainKing_MIX.wav,"A high quality recording of strings, flutes and drums playing.","A high quality recording of a piano, flutes and drums playing.",0,INSTR
259,MusicDelta_Country2_MIX.wav,"A high quality recording of a woman singing, and a guitar, bass and drums playing.","A high quality recording of a woman singing, and a piano, bass and drums playing.",0,INSTR
330,MusicDelta_FusionJazz_MIX.wav,"A trumpet playing a slow cool jazz melody while an electric keyboard, bass and drums play in the background, later a saxophone preforms a solo as well.","A saxophone playing a slow cool jazz melody while an electric keyboard, bass and drums play in the background, later a trumpet preforms a solo as well.",0,INSTR
112,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of Chinese instruments playing.,A recording of a synthesizer playing.,1,INSTR
358,MusicDelta_Gospel_MIX.wav,A high quality recording of a woman singing with a guitar and drums playing in the background.,A high quality recording of a violin playing with a guitar and drums playing in the background.,0,INSTR
451,MusicDelta_LatinJazz_MIX.wav,Flutes playing alongside a trumpet a happy upbeat melody.,A piano playing alongside a trumpet a happy upbeat melody.,0,INSTR
280,MusicDelta_Disco_MIX.wav,"A high quality recording of a man singing, and a guitar, bass and drums playing.","A high quality recording of a man singing, and a piano, bass and drums playing.",0,INSTR
175,MusicDelta_ChineseXinJing_MIX.wav,"Arabic and Chinese strings playing a mysterious song, alongside drums and Chinese flutes.","Arabic and Chinese strings playing a happy song, alongside drums and Chinese flutes.",0,MOOD
224,MusicDelta_Country1_MIX.wav,A recording of a calm country song.,"A recording of a funky, upbeat country song.",0,MOOD
426,MusicDelta_InTheHalloftheMountainKing_MIX.wav,A recording of a scary classical music piece.,A recording of a happy classical music piece.,0,MOOD
348,MusicDelta_Gospel_MIX.wav,A recording of an upbeat gospel song.,A recording of a dark and sad gospel song.,0,MOOD
123,MusicDelta_ChineseDrama_MIX.wav,"Chinese strings, flutes, and harp playing an epic dramatic song.","Strings, flutes, and harp playing an upbeat happy piece.",0,MOOD
306,MusicDelta_FunkJazz_MIX.wav,A recording of a funky jazz song.,A recording of an angry metal song.,1,MOOD
420,MusicDelta_Hendrix_MIX.wav,"A rock song of a man singing while a guitar, bass and drums are playing in the background.","A rock song of a guitar, bass and drums are playing in the background.",0,OTHER
479,MusicDelta_ModalJazz_MIX.wav,"A high quality recording of trumpets playing a melody and a piano, bass and drums accompany them.","A high quality recording of women singing a melody and a piano, bass and drums accompany them.",0,OTHER
425,MusicDelta_Hendrix_MIX.wav,A high quality recording of a man singing with a rock band accompaniment.,A high quality recording of a rock band accompaniment.,0,OTHER
591,MusicDelta_Rockabilly_MIX.wav,A high quality recording of a woman singing while a guitar and drums play in the background.,A high quality recording of a violin playing while a flute and drums play in the background.,0,OTHER
559,MusicDelta_Rock_MIX.wav,"A cool 60s rock song of a man singing while a guitar, bass and drums accompany him.","A cool 80s rock song of a man singing while a guitar, bass and drums accompany him.",0,TEMPO
558,MusicDelta_Rock_MIX.wav,"A cool 60s rock song of a man singing while a guitar, bass and drums accompany him.","A cool 70s rock song of a man singing while a guitar, bass and drums accompany him.",0,TEMPO
541,MusicDelta_Reggae_MIX.wav,A high quality recording of a man singing while bass and drums accompany him.,A high quality recording of a woman singing while bass and drums accompany her.,0,VOICE
356,MusicDelta_Gospel_MIX.wav,A high quality recording of a woman singing with a guitar and drums playing in the background.,A high quality recording of a man singing with a guitar and drums playing in the background.,0,VOICE
454,MusicDelta_LatinJazz_MIX.wav,Flutes playing alongside a trumpet a happy upbeat melody.,A woman vocalizing playing alongside a trumpet a happy upbeat melody.,0,VOICE
403,MusicDelta_Grunge_MIX.wav,A high quality recording of a man singing with a rock band accompaniment.,A high quality recording of a woman singing with a rock band accompaniment.,0,VOICE
249,MusicDelta_Country2_MIX.wav,"A woman is singing a country song with a guitar, bass and drums playing in the background.","A man is singing a country song with a guitar, bass and drums playing in the background.",0,VOICE
