,filename,source_captions,target_captions,can_be_used_without_source
62,MusicDelta_Beethoven_MIX.wav,An orchestra playing classical music. You can hear flutes and strings.,An orchestra playing classical music. You can hear a piano and strings.,0
63,MusicDelta_Beethoven_MIX.wav,An orchestra playing classical music. You can hear flutes and strings.,An orchestra playing classical music. You can hear flutes and a piano.,0
64,MusicDelta_Beethoven_MIX.wav,An orchestra playing classical music. You can hear flutes and strings.,An orchestra playing classical music. You can hear strings.,0
65,MusicDelta_Beethoven_MIX.wav,A high quality recording of wind instruments and strings playing.,A high quality recording of wind instruments playing.,0
66,MusicDelta_Beethoven_MIX.wav,A high quality recording of wind instruments and strings playing.,A high quality recording of strings playing.,0
67,MusicDelta_Beethoven_MIX.wav,A high quality recording of wind instruments and strings playing.,A high quality recording of a piano playing.,0
68,MusicDelta_Beethoven_MIX.wav,A high quality recording of wind instruments and strings playing.,A high quality recording of a piano and strings playing.,0
69,MusicDelta_Beethoven_MIX.wav,A high quality recording of wind instruments and strings playing.,A high quality recording of wind instruments and a piano playing.,0
70,MusicDelta_Beethoven_MIX.wav,A high quality recording of wind instruments and strings playing.,A high quality recording of drums and strings playing.,0
71,MusicDelta_Beethoven_MIX.wav,A high quality recording of wind instruments and strings playing.,A high quality recording of trumpets and cellos playing.,0
72,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of an arcade game soundtrack.,1
73,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of a metal song.,1
74,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of a country song.,1
75,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of a techno song.,1
76,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of Arabic music.,1
77,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of a rock song.,1
78,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of a classical music piece.,1
79,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of a hip hop song.,1
80,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of a jazz song.,1
81,MusicDelta_Britpop_MIX.wav,"A woman is singing while another woman, guitars, drums and bass are playing in the background.","A man is singing while another man, guitars, drums and bass are playing in the background.",0
82,MusicDelta_Britpop_MIX.wav,"A woman is singing while another woman, guitars, drums and bass are playing in the background.","A man is singing while another woman, guitars, drums and bass are playing in the background.",0
83,MusicDelta_Britpop_MIX.wav,"A woman is singing while another woman, guitars, drums and bass are playing in the background.","A woman is singing while another man, guitars, drums and bass are playing in the background.",0
84,MusicDelta_Britpop_MIX.wav,"A woman is singing while another woman, guitars, drums and bass are playing in the background.","A woman is singing while another woman, violins, drums and bass are playing in the background.",0
85,MusicDelta_Britpop_MIX.wav,"A woman is singing while another woman, guitars, drums and bass are playing in the background.",A woman is singing while an orchestra is playing in the background.,1
86,MusicDelta_Britpop_MIX.wav,A high quality recording of a rock band playing an upbeat rock song.,A high quality recording of an orchestra playing an epic movie soundtrack score.,1
87,MusicDelta_Britpop_MIX.wav,A high quality recording of a rock band playing an upbeat rock song.,A high quality recording of a string section playing an inspiring classical music piece.,1
88,MusicDelta_Britpop_MIX.wav,A high quality recording of a rock band playing an upbeat rock song.,A high quality recording of a jazz band playing an upbeat jazz song.,1
89,MusicDelta_Britpop_MIX.wav,A high quality recording of a rock band playing an upbeat rock song.,A high quality recording of a country band playing a funky country song.,1
90,MusicDelta_Britpop_MIX.wav,A high quality recording of a rock band playing an upbeat rock song.,A high quality recording of a hip hop band playing an upbeat hip hop song.,1
91,MusicDelta_Britpop_MIX.wav,A high quality recording of a rock band playing an upbeat rock song.,A high quality recording of electronic instruments playing an intense techno song.,1
92,MusicDelta_Britpop_MIX.wav,A high quality recording of a rock band playing an upbeat rock song.,A high quality recording of a rock band playing a somber rock song.,1
93,MusicDelta_Britpop_MIX.wav,A high quality recording of a rock band playing an upbeat rock song.,A high quality recording of a rock band playing a sad and quiet rock song.,1
94,MusicDelta_Britpop_MIX.wav,A high quality recording of a rock band playing an upbeat rock song.,A high quality recording of a rock band playing a slow metal song.,1
95,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of happy Arabic music.,1
96,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of happy Hindu music.,1
97,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of happy rock music.,1
98,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of happy pop music.,1
99,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of happy techno music.,1
100,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of an arcade game soundtrack.,1
101,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of happy grunge rock music.,1
102,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of angry metal music.,1
103,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of an epic movie soundtrack.,1
104,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of a funky arcade game soundtrack.,1
105,MusicDelta_ChineseChaoZhou_MIX.wav,"Chinese strings, flutes, and harps playing an upbeat piece.","Arabic strings, flutes, and harps playing an upbeat piece.",1
106,MusicDelta_ChineseChaoZhou_MIX.wav,"Chinese strings, flutes, and harps playing an upbeat piece.","strings, flutes, and harps playing an upbeat piece.",1
107,MusicDelta_ChineseChaoZhou_MIX.wav,"Chinese strings, flutes, and harps playing an upbeat piece.","strings, flutes, and harps playing an epic piece.",1
108,MusicDelta_ChineseChaoZhou_MIX.wav,"Chinese strings, flutes, and harps playing an upbeat piece.","Chinese strings, flutes, and harps playing an somber piece.",1
109,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of Chinese instruments playing.,A recording of Arabic instruments playing.,1
110,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of Chinese instruments playing.,A recording of an orchestra playing.,1
111,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of Chinese instruments playing.,A recording of a rock band playing.,1
112,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of Chinese instruments playing.,A recording of a synthesizer playing.,1
113,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of a happy Chinese piece.,1
114,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of an arcade game soundtrack.,1
115,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of an upbeat Chinese piece.,1
116,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of an upbeat Hindu piece.,1
117,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of a dramatic epic Arabic piece.,1
118,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of a dramatic techno piece.,1
119,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of a dramatic heavy metal piece.,1
120,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of upbeat pop music.,1
121,MusicDelta_ChineseDrama_MIX.wav,"Chinese strings, flutes, and harp playing an epic dramatic song.","Arabic strings, flutes, and harp playing an epic dramatic song.",0
122,MusicDelta_ChineseDrama_MIX.wav,"Chinese strings, flutes, and harp playing an epic dramatic song.","Strings, flutes, and harp playing an epic dramatic song.",0
123,MusicDelta_ChineseDrama_MIX.wav,"Chinese strings, flutes, and harp playing an epic dramatic song.","Strings, flutes, and harp playing an upbeat happy piece.",0
124,MusicDelta_ChineseDrama_MIX.wav,A recording of Chinese instruments playing.,A recording of Hindu instruments playing.,1
125,MusicDelta_ChineseDrama_MIX.wav,A recording of Chinese instruments playing.,A recording of Arabic instruments playing.,1
126,MusicDelta_ChineseDrama_MIX.wav,A recording of Chinese instruments playing.,A recording of an orchestra playing.,1
127,MusicDelta_ChineseDrama_MIX.wav,A recording of Chinese instruments playing.,A recording of a rock band playing.,1
128,MusicDelta_ChineseDrama_MIX.wav,A recording of Chinese instruments playing.,A recording of a synthesizer playing.,1
129,MusicDelta_ChineseHenan_MIX.wav,A recording of calm happy Chinese music.,A recording of calm happy Arabic music.,1
130,MusicDelta_ChineseHenan_MIX.wav,A recording of calm happy Chinese music.,A recording of calm happy movie soundtrack.,1
131,MusicDelta_ChineseHenan_MIX.wav,A recording of calm happy Chinese music.,A recording of calm happy rock song.,1
132,MusicDelta_ChineseHenan_MIX.wav,A recording of calm happy Chinese music.,A recording of harsh and scary Chinese music.,1
133,MusicDelta_ChineseHenan_MIX.wav,A recording of calm happy Chinese music.,A recording of techno music.,1
134,MusicDelta_ChineseHenan_MIX.wav,A recording of calm happy Chinese music.,A recording of calm happy country music.,1
135,MusicDelta_ChineseHenan_MIX.wav,A recording of calm happy Chinese music.,A recording of calm happy jazz music.,1
136,MusicDelta_ChineseHenan_MIX.wav,A recording of calm happy Chinese music.,A recording of cool and slow jazz music.,1
137,MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing calm happy Chinese music.","Chinese strings, flutes, and harp playing angry and scary Chinese music.",0
138,MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing calm happy Chinese music.","Hindu strings, flutes, and harp playing calm happy Hindu music.",0
139,MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing calm happy Chinese music.","Arabic strings, flutes, and harp playing calm happy Arabic music.",0
140,MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing calm happy Chinese music.","Strings, flutes, and harp playing calm happy rock music.",0
141,MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing calm happy Chinese music.","Strings, flutes, and harp playing calm happy techno music.",0
142,MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing calm happy Chinese music.","Guitars, saxophones, and piano playing calm happy jazz music.",0
143,MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing calm happy Chinese music.","Guitars, saxophones, and piano playing calm happy elevator music.",0
144,MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing calm happy Chinese music.","Violins, flutes, and harp playing a romantic movie soundtrack.",0
145,MusicDelta_ChineseHenan_MIX.wav,A recording of Chinese instruments playing.,A recording of Arabic instruments playing.,0
146,MusicDelta_ChineseHenan_MIX.wav,A recording of Chinese instruments playing.,A recording of Hindu instruments playing.,0
147,MusicDelta_ChineseHenan_MIX.wav,A recording of Chinese instruments playing.,A recording of an orchestra playing.,1
148,MusicDelta_ChineseHenan_MIX.wav,A recording of Chinese instruments playing.,A recording of a string section playing.,1
149,MusicDelta_ChineseHenan_MIX.wav,A recording of Chinese instruments playing.,A recording of electronic music playing.,1
150,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of a sad village Chinese song.,0
151,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of a happy village Arabic song.,0
152,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of an arcade game soundtrack.,1
153,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of a metal song.,1
154,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of a classical music piece.,0
155,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of a happy jazz song.,1
156,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of a somber jazz song.,1
157,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of a happy pop song.,1
158,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of a happy country song.,1
159,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of a rave techno song.,1
160,MusicDelta_ChineseJiangNan_MIX.wav,"Chinese strings, flutes, and harp playing a happy village Chinese song.","Arabic strings, flutes, and harp playing a happy village Arabic song.",0
161,MusicDelta_ChineseJiangNan_MIX.wav,"Chinese strings, flutes, and harp playing a happy village Chinese song.","Strings, flutes, and harp playing a happy jazz song.",1
162,MusicDelta_ChineseJiangNan_MIX.wav,"Chinese strings, flutes, and harp playing a happy village Chinese song.","Strings, flutes, and harp playing an angry metal song.",0
163,MusicDelta_ChineseJiangNan_MIX.wav,"Chinese strings, flutes, and harp playing a happy village Chinese song.","Guitars, trumpets, and piano playing a happy song.",0
164,MusicDelta_ChineseJiangNan_MIX.wav,A high quality recording of Chinese instruments playing.,A high quality recording of Arabic instruments playing.,0
165,MusicDelta_ChineseJiangNan_MIX.wav,A high quality recording of Chinese instruments playing.,A high quality recording of an orchestra playing.,1
166,MusicDelta_ChineseJiangNan_MIX.wav,A high quality recording of Chinese instruments playing.,A high quality recording of a rock band playing.,1
167,MusicDelta_ChineseJiangNan_MIX.wav,A high quality recording of Chinese instruments playing.,A high quality recording of a retro arcade soundtrack playing.,1
168,MusicDelta_ChineseXinJing_MIX.wav,A recording of a cool mysterious Arabic Chinese song.,A recording of a cool mysterious orchestral movie soundtrack song.,0
169,MusicDelta_ChineseXinJing_MIX.wav,A recording of a cool mysterious Arabic Chinese song.,A recording of a happy Arabic Chinese song.,0
170,MusicDelta_ChineseXinJing_MIX.wav,A recording of a cool mysterious Arabic Chinese song.,A recording of a cool mysterious arcade game soundtrack.,1
171,MusicDelta_ChineseXinJing_MIX.wav,A recording of a cool mysterious Arabic Chinese song.,A recording of a fun happy arcade game soundtrack.,1
172,MusicDelta_ChineseXinJing_MIX.wav,A recording of a cool mysterious Arabic Chinese song.,A recording of a cool mysterious rock song.,1
173,MusicDelta_ChineseXinJing_MIX.wav,A recording of a cool mysterious Arabic Chinese song.,A recording of a cool mysterious hip hop song.,1
174,MusicDelta_ChineseXinJing_MIX.wav,A recording of a cool mysterious Arabic Chinese song.,A recording of a cool mysterious techno song.,1
175,MusicDelta_ChineseXinJing_MIX.wav,"Arabic and Chinese strings playing a mysterious song, alongside drums and Chinese flutes.","Arabic and Chinese strings playing a happy song, alongside drums and Chinese flutes.",0
176,MusicDelta_ChineseXinJing_MIX.wav,"Arabic and Chinese strings playing a mysterious song, alongside drums and Chinese flutes.","Strings playing a mysterious song, alongside drums and flutes.",0
177,MusicDelta_ChineseXinJing_MIX.wav,"Arabic and Chinese strings playing a mysterious song, alongside drums and Chinese flutes.","Strings playing an epic movie soundtrack, alongside drums and wind instruments.",0
178,MusicDelta_ChineseXinJing_MIX.wav,"Arabic and Chinese strings playing a mysterious song, alongside drums and Chinese flutes.","Guitars playing a rock song, alongside drums and bass.",1
179,MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of Chinese strings, Arabic strings, drums and Chinese flutes playing.","A high quality recording of strings, drums and flutes playing.",0
180,MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of Chinese strings, Arabic strings, drums and Chinese flutes playing.",A high quality recording of an orchestra playing.,1
181,MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of Chinese strings, Arabic strings, drums and Chinese flutes playing.",A high quality recording of a string quartet playing.,1
182,MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of Chinese strings, Arabic strings, drums and Chinese flutes playing.",A high quality recording of a rock band playing.,1
183,MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of Chinese strings, Arabic strings, drums and Chinese flutes playing.","A high quality recording of a guitars, bass, drums and piano playing.",1
184,MusicDelta_ChineseYaoZu_MIX.wav,A recording of a happy calm Chinese song.,A recording of a sad calm Chinese song.,0
185,MusicDelta_ChineseYaoZu_MIX.wav,A recording of a happy calm Chinese song.,A recording of a happy calm Arabic song.,0
186,MusicDelta_ChineseYaoZu_MIX.wav,A recording of a happy calm Chinese song.,A recording of a happy calm hip hop song.,1
187,MusicDelta_ChineseYaoZu_MIX.wav,A recording of a happy calm Chinese song.,A recording of a happy calm rock song.,1
188,MusicDelta_ChineseYaoZu_MIX.wav,A recording of a happy calm Chinese song.,A recording of a happy calm country song.,10
189,MusicDelta_ChineseYaoZu_MIX.wav,A recording of a happy calm Chinese song.,A recording of a happy arcade game soundtrack.,1
190,MusicDelta_ChineseYaoZu_MIX.wav,A recording of a happy calm Chinese song.,A recording of a happy movie score.,1
191,MusicDelta_ChineseYaoZu_MIX.wav,A recording of a happy calm Chinese song.,A recording of a happy orchestral score.,0
192,MusicDelta_ChineseYaoZu_MIX.wav,Chinese flutes and strings playing a happy calm Chinese song.,Chinese flutes and strings playing a somber calm Chinese song.,0
193,MusicDelta_ChineseYaoZu_MIX.wav,Chinese flutes and strings playing a happy calm Chinese song.,Flutes and strings playing a happy calm classical score.,0
194,MusicDelta_ChineseYaoZu_MIX.wav,Chinese flutes and strings playing a happy calm Chinese song.,Flutes and guitars playing a happy calm song.,0
195,MusicDelta_ChineseYaoZu_MIX.wav,Chinese flutes and strings playing a happy calm Chinese song.,A string section playing a happy calm song.,1
196,MusicDelta_ChineseYaoZu_MIX.wav,Chinese flutes and strings playing a happy calm Chinese song.,A piano and strings playing a happy calm song.,0
197,MusicDelta_ChineseYaoZu_MIX.wav,A recording of Chinese instruments playing.,A recording of Arabic instruments playing.,1
198,MusicDelta_ChineseYaoZu_MIX.wav,A recording of Chinese instruments playing.,A recording of electronic music playing.,1
199,MusicDelta_ChineseYaoZu_MIX.wav,A recording of Chinese instruments playing.,A recording of a rock band playing.,1
200,MusicDelta_ChineseYaoZu_MIX.wav,A recording of Chinese instruments playing.,A recording of a string quartet playing.,1
201,MusicDelta_ChineseYaoZu_MIX.wav,A recording of Chinese instruments playing.,A recording of an orchestra playing.,1
202,MusicDelta_CoolJazz_MIX.wav,A recording of a cool calm jazz song.,A recording of an upbeat jazz song.,0
203,MusicDelta_CoolJazz_MIX.wav,A recording of a cool calm jazz song.,A recording of a cool calm rock song.,1
204,MusicDelta_CoolJazz_MIX.wav,A recording of a cool calm jazz song.,A recording of a cool calm hip hop song.,1
205,MusicDelta_CoolJazz_MIX.wav,A recording of a cool calm jazz song.,A recording of a cool calm techno song.,1
206,MusicDelta_CoolJazz_MIX.wav,A recording of a cool calm jazz song.,A recording of a cool calm arcade game soundtrack.,1
207,MusicDelta_CoolJazz_MIX.wav,A recording of a cool calm jazz song.,A recording of an upbeat country song.,1
208,MusicDelta_CoolJazz_MIX.wav,A recording of a cool calm jazz song.,A recording of a mysterious Arabic song.,1
209,MusicDelta_CoolJazz_MIX.wav,"A trumpet and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.","A saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.",0
210,MusicDelta_CoolJazz_MIX.wav,"A trumpet and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.","A trumpet playing a cool jazz melody, with an accompaniment of a piano, bass and drums.",0
211,MusicDelta_CoolJazz_MIX.wav,"A trumpet and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.","A violin and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.",0
212,MusicDelta_CoolJazz_MIX.wav,"A trumpet and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.","A trumpet and a violin playing a cool jazz melody, with an accompaniment of a piano, bass and drums.",0
213,MusicDelta_CoolJazz_MIX.wav,"A trumpet and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.","A guitar and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.",0
